ApplNo	ProductNo	TECode	TESequence	ProductMktStatus
017892	003	AB	1	1
017919	002	AB	1	1
017922	001	AB	1	1
017922	003	AB	1	1
017955	001	AB	1	1
017962	001	AB	1	1
017963	001	AB	1	1
017963	002	AB	1	1
017993	001	AB	1	1
018008	004	AP	1	1
018008	005	AP	1	1
018008	006	AP	1	1
018008	007	AP	1	1
018008	008	AP	1	1
018008	009	AP	1	1
018008	010	AP	1	1
018013	001	AB	1	1
018013	002	AB	1	1
018013	003	AB	1	1
018013	004	AB	1	1
018016	001	AP	1	1
018027	001	AB	1	1
018029	001	AB	1	1
018037	001	AP	1	1
018037	002	AP	1	1
018037	003	AP	1	1
018037	004	AP	1	1
018037	005	AP	1	1
018037	006	AP	1	1
018037	007	AP	1	1
018037	008	AP	1	1
018037	009	AP	1	1
018044	001	AB	1	1
018044	002	AB	1	1
018053	001	AP	1	1
018053	002	AP	1	1
018053	003	AP	1	1
018057	004	AP	1	1
018058	001	BS	1	1
018063	001	AB	1	1
018063	002	AB	1	1
018063	005	AB	1	1
018080	001	AP	1	1
018081	001	AB	1	1
018082	001	AA	1	1
018086	001	AT	1	1
018086	002	AT1	1	1
018090	001	AP	1	1
018107	001	AP	1	1
018110	002	AP	1	1
018124	001	AP	1	1
018132	001	AP	1	1
018132	002	AP	1	1
018132	003	AP	1	1
018132	004	AP	1	1
018140	001	AP	1	1
018140	002	AP	1	1
018147	002	AB	1	1
018147	003	AB	1	1
018150	001	AP	1	1
018156	001	AT	1	1
018161	001	AT	1	1
018163	001	AB	1	1
018163	002	AB	1	1
018163	003	AB	1	1
018163	004	AB	1	1
018164	001	AB	1	1
018164	003	AB	1	1
018200	001	AB	1	1
018225	001	AB	1	1
018225	002	AB	1	1
018225	003	AB	1	1
018227	001	AP	1	1
018233	001	AP	1	1
018238	001	AB	1	1
018238	002	AB	1	1
018240	001	AB	1	1
018240	002	AB	1	1
018240	004	AB	1	1
018243	001	AP	1	1
018243	002	AP	1	1
018248	001	AP	1	1
